stn,amendment_type,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,FISH_probe,cells_ml,substratecells_ml,dapifish_ml,dapifishsubstrate_ml
stn18,amend,dA,d2,104,lam,t3,10,240,1,EUB3,591140.9213,2141.814932,3295.099896,329.5099896
stn18,amend,dA,d2,104,lam,t3,10,240,1,GAM42a,584331.0482,5381.996497,268001.4582,219.6733264
stn18,amend,dA,d2,104,lam,t3,10,240,1,PLA46,602896.9874,3932.861166,3401.393441,1062.93545
stn18,amend,dA,d2,104,lam,t3,10,240,1,CF319a,630901.7934,3954.119875,59092.1248,0
stn19,amend,dA,d2,33,lam,t0,0,0,1,EUB1,1732928.025,1934.464002,135060.7594,351.7207276
stn19,amend,dA,d2,33,lam,t0,0,0,1,EUB3,1845214.867,2261.06182,43054.38549,1413.163638
stn19,amend,dA,d2,33,lam,t0,0,0,1,GAM42a,1774368.263,3956.858185,17523.22911,1036.320001
stn19,amend,dA,d2,33,lam,t0,0,0,1,PLA46,1739083.138,2989.626184,5627.531641,527.5810914
stn19,amend,dA,d2,33,lam,t0,0,0,1,CF319a,1734257.969,5523.11455,58446.09278,2390.60182
stn19,amend,dA,d2,33,lam,t1,3,72,3,EUB1,4339646.563,621400.922,1701095.321,115145.4353
stn19,amend,dA,d2,33,lam,t1,3,72,3,EUB3,4423305.488,544057.605,43477.01252,3112.038791
stn19,amend,dA,d2,33,lam,t1,3,72,3,GAM42a,4418208.682,517157.2574,232044.4032,5549.64193
stn19,amend,dA,d2,33,lam,t1,3,72,3,PLA46,4356122.062,546418.4621,6590.199792,2272.482687
stn19,amend,dA,d2,33,lam,t1,3,72,3,CF319a,4406003.057,564030.2029,1639369.01,300194.9629
stn19,amend,dA,d2,33,lam,t2,5,120,1,EUB1,4016399.48,16204.27638,2056561.34,9044.247281
stn19,amend,dA,d2,33,lam,t2,5,120,1,EUB3,4131679.374,1918.476696,11630.76497,0
stn19,amend,dA,d2,33,lam,t2,5,120,1,GAM42a,3685153.923,3956.858185,537839.6126,0
stn19,amend,dA,d2,33,lam,t2,5,120,1,PLA46,3929870.383,7710.800566,9334.127001,0
stn19,amend,dA,d2,33,lam,t2,5,120,1,CF319a,3675774.704,12310.22547,1457149.664,6155.112733
stn19,amend,dA,d2,33,lam,t3,10,240,1,EUB1,605639.3609,988.5299688,360813.4386,549.183316
stn19,amend,dA,d2,33,lam,t3,10,240,1,EUB3,611043.3247,790.823975,2108.863933,0
stn19,amend,dA,d2,33,lam,t3,10,240,1,GAM42a,607945.9308,823.774974,161577.577,117.6821391
stn19,amend,dA,d2,33,lam,t3,10,240,1,PLA46,575727.1763,549.183316,1647.549948,183.0611053
stn19,amend,dA,d2,33,lam,t3,10,240,1,CF319a,621998.5627,969.1470282,45065.33681,387.6588113
stn20,amend,dA,d2,64,lam,t0,0,0,1,EUB1,2099772.744,2198.254547,1198840.1,1846.53382
stn20,amend,dA,d2,64,lam,t0,0,0,1,EUB3,2242031.217,1601.585456,6877.39637,659.4763642
stn20,amend,dA,d2,64,lam,t0,0,0,1,GAM42a,1968088.503,1582.743274,235723.2316,316.5486548
stn20,amend,dA,d2,64,lam,t0,0,0,1,PLA46,1943081.16,2321.356802,12661.94619,844.1297462
stn20,amend,dA,d2,64,lam,t0,0,0,1,CF319a,2091859.027,1558.762315,183094.6197,479.619174
stn20,amend,dA,d2,64,lam,t1,3,72,1,EUB1,4173073.582,1590.737881,99421.11755,681.7448061
stn20,amend,dA,d2,64,lam,t1,3,72,1,EUB3,4309730.524,2167.828879,2427.968344,693.7052413
stn20,amend,dA,d2,64,lam,t1,3,72,1,GAM42a,4083334.864,1176.821391,54251.46614,706.0928349
stn20,amend,dA,d2,64,lam,t1,3,72,1,PLA46,4000439.565,2165.35136,13462.83672,470.7285566
stn20,amend,dA,d2,64,lam,t1,3,72,1,CF319a,4080491.409,2315.475603,30012.12608,1157.737801
stn20,amend,dA,d2,64,lam,t2,5,120,1,EUB1,2329017.795,4530.762357,1081204.653,1029.718717
stn20,amend,dA,d2,64,lam,t2,5,120,1,EUB3,2413369.93,3682.758707,5524.138061,969.1470282
stn20,amend,dA,d2,64,lam,t2,5,120,1,GAM42a,2295286.706,4093.911992,388222.6787,898.663608
stn20,amend,dA,d2,64,lam,t2,5,120,1,PLA46,2339520.926,4251.741801,37202.74076,1169.228995
stn20,amend,dA,d2,64,lam,t2,5,120,1,CF319a,2338157.437,4090.468836,456996.2683,1022.617209
stn20,amend,dA,d2,64,lam,t3,10,240,1,EUB1,1408537.523,72021.46915,258194.6133,353.0464174
stn20,amend,dA,d2,64,lam,t3,10,240,1,EUB3,1468516.187,95338.22366,210447.0467,94459.53035
stn20,amend,dA,d2,64,lam,t3,10,240,1,GAM42a,1486988.717,84374.52764,185124.7032,3594.654432
stn20,amend,dA,d2,64,lam,t3,10,240,1,PLA46,1461479.776,65696.05418,5148.593587,1544.578076
stn20,amend,dA,d2,64,lam,t3,10,240,1,CF319a,1501715.204,63882.42056,73129.95898,425.1741801
stn20,amend,dA,d2,64,lam,t4,15,360,1,EUB1,2399257.898,21365.00255,315054.0675,318.8806351
stn20,amend,dA,d2,64,lam,t4,15,360,1,EUB3,2518850.401,16855.70331,27501.41067,4562.44601
stn20,amend,dA,d2,64,lam,t4,15,360,1,GAM42a,2471893.043,14089.39266,224862.1619,1477.113746
stn20,amend,dA,d2,64,lam,t4,15,360,1,PLA46,2476728.886,23197.50327,21088.63933,6722.003788
stn20,amend,dA,d2,64,lam,t4,15,360,1,CF319a,2465451.048,18767.74289,69340.36303,429.7956386
stn18,unamend,bottom,d6,3190,lam,t0,0.2,5,1,EUB1,13895.16699,484.7151277,323.1434185,0
stn18,unamend,bottom,d6,3190,lam,t0,0.2,5,1,EUB3,13008.70599,550.217172,78.60245314,39.30122657
stn18,unamend,bottom,d6,3190,lam,t0,0.2,5,1,GAM42a,12869.18664,508.9508841,72.70726916,0
stn18,unamend,bottom,d6,3190,lam,t0,0.2,5,1,PLA46,13905.26523,454.4204322,90.88408644,0
stn18,unamend,bottom,d6,3190,lam,t0,0.2,5,1,CF319a,13839.45261,300.8576655,0,0
stn18,unamend,bottom,d6,3190,lam,t1,1,24,1,EUB1,1.65E+04,9.09E+02,1.14E+03,2.27E+02
stn18,unamend,bottom,d6,3190,lam,t1,1,24,1,EUB3,1.41E+04,5.23E+02,1.16E+02,0.00E+00
stn18,unamend,bottom,d6,3190,lam,t1,1,24,1,GAM42a,1.59E+04,8.55E+02,1.97E+03,1.71E+02
stn18,unamend,bottom,d6,3190,lam,t1,1,24,1,PLA46,2.01E+04,6.17E+02,2.20E+02,8.81E+01
stn18,unamend,bottom,d6,3190,lam,t1,1,24,1,CF319a,1.66E+04,5.56E+02,1.71E+02,4.28E+01
stn18,unamend,bottom,d6,3190,lam,t2,3,72,1,EUB1,3.21E+04,2.38E+03,4.30E+03,6.40E+02
stn18,unamend,bottom,d6,3190,lam,t2,3,72,1,EUB3,3.00E+04,2.26E+03,1.62E+03,3.77E+02
stn18,unamend,bottom,d6,3190,lam,t2,3,72,1,GAM42a,3.07E+04,2.66E+03,5.06E+03,1.90E+02
stn18,unamend,bottom,d6,3190,lam,t2,3,72,1,PLA46,2.70E+04,1.77E+03,1.04E+02,5.19E+01
stn18,unamend,bottom,d6,3190,lam,t2,3,72,1,CF319a,2.82E+04,2.16E+03,9.69E+02,4.41E+02
stn18,unamend,bottom,d6,3190,lam,t3,7,168,1,EUB1,3.04E+04,9.25E+02,1.89E+03,1.76E+02
stn18,unamend,bottom,d6,3190,lam,t3,7,168,1,EUB3,2.98E+04,1.33E+03,2.83E+02,8.08E+01
stn18,unamend,bottom,d6,3190,lam,t3,7,168,1,GAM42a,3.45E+04,1.60E+03,3.16E+03,2.51E+02
stn18,unamend,bottom,d6,3190,lam,t3,7,168,1,PLA46,3.15E+04,1.60E+03,2.91E+02,4.85E+01
stn18,unamend,bottom,d6,3190,lam,t3,7,168,1,CF319a,3.22E+04,1.16E+03,4.99E+02,2.08E+02
stn18,unamend,bottom,d6,3190,lam,t4,10,240,1,EUB1,3.55E+04,1.64E+03,4.00E+03,9.09E+01
stn18,unamend,bottom,d6,3190,lam,t4,10,240,1,EUB3,3.35E+04,1.16E+03,5.33E+02,1.45E+02
stn18,unamend,bottom,d6,3190,lam,t4,10,240,1,GAM42a,3.23E+04,1.26E+03,9.83E+02,1.18E+02
stn18,unamend,bottom,d6,3190,lam,t4,10,240,1,PLA46,3.27E+04,1.77E+03,7.73E+02,4.54E+01
stn18,unamend,bottom,d6,3190,lam,t4,10,240,1,CF319a,3.03E+04,1.45E+03,9.43E+02,2.75E+02
stn19,unamend,bottom,d6,4325,lam,t0,0.2,5,1,EUB1,2.71E+04,9.91E+02,2.94E+03,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t0,0.2,5,1,EUB3,2.73E+04,9.84E+02,1.71E+02,4.28E+01
stn19,unamend,bottom,d6,4325,lam,t0,0.2,5,1,GAM42a,2.53E+04,1.41E+03,5.50E+02,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t0,0.2,5,1,PLA46,2.92E+04,9.45E+02,2.54E+02,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t0,0.2,5,1,CF319a,2.77E+04,7.67E+02,6.06E+02,8.08E+01
stn19,unamend,bottom,d6,4325,lam,t1,2,48,1,EUB1,1.23E+04,1.24E+03,5.56E+02,8.55E+01
stn19,unamend,bottom,d6,4325,lam,t1,2,48,1,EUB3,1.47E+04,2.24E+03,6.71E+02,2.24E+02
stn19,unamend,bottom,d6,4325,lam,t1,2,48,1,GAM42a,1.15E+04,1.21E+03,0.00E+00,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t1,2,48,1,PLA46,1.18E+04,1.21E+03,0.00E+00,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t1,2,48,1,CF319a,1.24E+04,1.24E+03,2.14E+02,8.55E+01
stn19,unamend,bottom,d6,4325,lam,t2,3,72,1,EUB1,1.94E+04,5.82E+02,1.74E+03,1.45E+02
stn19,unamend,bottom,d6,4325,lam,t2,3,72,1,EUB3,2.04E+04,7.59E+02,5.69E+02,1.26E+02
stn19,unamend,bottom,d6,4325,lam,t2,3,72,1,GAM42a,1.71E+04,7.27E+02,2.18E+03,2.91E+02
stn19,unamend,bottom,d6,4325,lam,t2,3,72,1,PLA46,1.81E+04,7.27E+02,1.82E+02,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t2,3,72,1,CF319a,2.01E+04,4.36E+02,2.18E+02,0.00E+00
stn19,unamend,bottom,d6,4325,lam,t3,7,168,1,EUB1,2.27E+04,8.44E+02,1.50E+03,9.38E+01
stn19,unamend,bottom,d6,4325,lam,t3,7,168,1,EUB3,2.21E+04,2.64E+02,1.76E+02,4.41E+01
stn19,unamend,bottom,d6,4325,lam,t3,7,168,1,GAM42a,2.47E+04,8.98E+02,2.10E+03,3.42E+02
stn19,unamend,bottom,d6,4325,lam,t3,7,168,1,PLA46,2.15E+04,4.99E+02,2.91E+02,4.15E+01
stn19,unamend,bottom,d6,4325,lam,t3,7,168,1,CF319a,2.07E+04,7.27E+02,2.24E+02,1.12E+02
stn19,unamend,bottom,d6,4325,lam,t4,10,240,1,EUB1,3.32E+04,1.53E+03,1.04E+04,5.74E+02
stn19,unamend,bottom,d6,4325,lam,t4,10,240,1,EUB3,3.39E+04,2.07E+03,3.23E+02,1.29E+02
stn19,unamend,bottom,d6,4325,lam,t4,10,240,1,GAM42a,3.16E+04,1.56E+03,1.77E+03,1.06E+02
stn19,unamend,bottom,d6,4325,lam,t4,10,240,1,PLA46,3.15E+04,1.62E+03,6.76E+01,6.76E+01
stn19,unamend,bottom,d6,4325,lam,t4,10,240,1,CF319a,3.36E+04,1.95E+03,4.26E+02,1.06E+02
stn20,unamend,bottom,d7,5580,lam,t0,0.2,5,1,EUB1,1.34E+04,7.27E+02,6.46E+02,8.08E+01
stn20,unamend,bottom,d7,5580,lam,t0,0.2,5,1,EUB3,1.51E+04,5.92E+02,3.23E+02,1.62E+02
