stn,depth_name,substrate,time_d,mean.cells,sd.cells,mean.selfish,sd.selfish,mean.percent,sd.percent
stn19,DCM,control,3,2384137.456,NA,NA,NA,NA,NA
stn19,DCM,control,7,2115435.31,NA,NA,NA,NA,NA
stn19,DCM,control,10,1178867.585,NA,NA,NA,NA,NA
stn19,DCM,fuc,0.2,884000,296936.02,1581.333333,1076.342108,0.164796962,0.072579785
stn19,DCM,fuc,2,2106666.667,369097.9996,4202.666667,3289.15815,0.196754533,0.163767135
stn19,DCM,fuc,3,2243333.333,141891.9777,6776,2927.119403,0.306766513,0.149263606
stn19,DCM,fuc,7,2283333.333,300887.5759,11532.33333,1039.151737,0.511904964,0.091204585
stn19,DCM,fuc,10,1193333.333,196553.6398,3981.666667,1019.758958,0.331712442,0.05184309
stn19,DCM,fuc,15,NA,NA,NA,NA,NA,NA
stn19,DCM,fuc,30,NA,NA,NA,NA,NA,NA
stn19,DCM,lam,0.2,725666.6667,87842.66238,59300,16288.95331,8.079256348,1.221607148
stn19,DCM,lam,2,1863333.333,648254.0654,176666.6667,153262.3024,7.933548561,6.876778573
stn19,DCM,lam,3,2260000,713582.511,196366.6667,140331.4054,8.055959368,3.660984714
stn19,DCM,lam,7,1046666.667,945797.7233,68300,64431.90204,NA,NA
stn19,DCM,lam,10,1091333.333,276595.9749,113393.3333,173772.2421,10.83588703,16.76325288
stn19,DCM,lam,15,NA,NA,NA,NA,NA,NA
stn19,DCM,lam,30,NA,NA,NA,NA,NA,NA
stn19,DCM,pul,0.2,932333.3333,440851.827,40600,27750.31531,4.091948323,0.944214069
stn19,DCM,pul,2,1976666.667,109696.5511,90466.66667,37369.81848,4.540196078,1.720813906
stn19,DCM,pul,3,2663333.333,206478.4089,128000,15874.50787,4.830335002,0.76282231
stn19,DCM,pul,7,1920000,191572.4406,78336.66667,63737.98736,3.876781825,3.084150366
stn19,DCM,pul,10,891333.3333,111275.9333,35700,23502.34031,4.278978293,3.356295189
stn19,DCM,pul,15,NA,NA,NA,NA,NA,NA
stn19,DCM,pul,30,NA,NA,NA,NA,NA,NA
stn19,DCM,xyl,0.2,719666.6667,27061.65799,NA,NA,NA,NA
stn19,DCM,xyl,2,2190000,430000,NA,NA,NA,NA
stn19,DCM,xyl,3,2286666.667,231804.5153,NA,NA,NA,NA
stn19,DCM,xyl,7,1736666.667,187705.443,NA,NA,NA,NA
stn19,DCM,xyl,10,1052666.667,77468.27308,NA,NA,NA,NA
stn19,DCM,xyl,15,NA,NA,NA,NA,NA,NA
stn19,DCM,xyl,30,NA,NA,NA,NA,NA,NA
stn20,bottom,ara,0.2,13200,264.5751311,98.76666667,14.88836235,0.748616458,0.116875639
stn20,bottom,ara,3,13433.33333,1342.882472,797,394.7872845,6.026890756,3.094152223
stn20,bottom,ara,7,11766.66667,2919.474839,376.6666667,146.4866319,3.115048651,0.577848727
stn20,bottom,ara,10,12713.33333,3297.049186,287.3333333,77.26146085,2.462807889,1.318073408
stn20,bottom,chn,0.2,15533.33333,404.1451884,311.7666667,271.7492656,2.002327359,1.722123663
stn20,bottom,chn,3,11866.66667,1171.893055,421.6666667,478.6881379,3.67020202,4.41091713
stn20,bottom,chn,7,13000,1081.665383,680,474.6746254,5.440292904,4.249415962
stn20,bottom,chn,10,13566.66667,3646.002377,525.6666667,485.08178,3.618480649,2.603917053
stn20,bottom,control,0.2,12822.91839,NA,NA,NA,NA,NA
stn20,bottom,control,3,13833.02404,NA,NA,NA,NA,NA
stn20,bottom,control,7,14268.80159,NA,NA,NA,NA,NA
stn20,bottom,control,10,18291.61826,NA,NA,NA,NA,NA
stn20,bottom,fuc,0.2,13366.66667,1457.1662,127.6666667,42.73562136,0.979007074,0.413445345
stn20,bottom,fuc,3,12666.66667,1814.754345,944,287.631709,7.449219995,1.95114287
stn20,bottom,fuc,7,15200,5369.357503,626.3333333,204.2947217,4.142287958,0.394016469
stn20,bottom,fuc,10,19366.66667,10421.29231,285.4333333,266.9662213,1.301375337,0.722660564
stn20,bottom,lam,0.2,14333.33333,896.288644,329.6666667,152.8605029,2.262182074,0.963006308
stn20,bottom,lam,1,NA,NA,NA,NA,NA,NA
stn20,bottom,lam,3,12833.33333,493.2882862,401.6666667,85.59400291,3.122498934,0.602676026
stn20,bottom,lam,7,14900,1819.34054,2000,433.474336,13.32530906,1.199686012
stn20,bottom,lam,10,22833.33333,3527.510926,974.3333333,184.8630123,4.355410959,1.21386425
stn20,bottom,pul,0.2,13666.66667,1401.18997,337.3333333,20.50203242,2.488674317,0.324556492
stn20,bottom,pul,3,12100,1389.244399,1060,536.749476,9.143658264,5.126826827
stn20,bottom,pul,7,13350,3181.980515,2830,1951.614716,20.02512128,9.845837146
stn20,bottom,pul,10,12733.33333,1069.267662,572.3333333,314.5351067,4.398450214,2.187120862
stn20,bottom,xyl,0.2,12966.66667,2676.440422,NA,NA,NA,NA
stn20,bottom,xyl,3,12633.33333,1817.507451,NA,NA,NA,NA
stn20,bottom,xyl,7,14600,1734.935157,NA,NA,NA,NA
stn20,bottom,xyl,10,18100,781.0249676,NA,NA,NA,NA
stn20,DCM,ara,0.2,538000,45177.42799,7640,886.1151167,1.429546133,0.232136397
stn20,DCM,ara,1,602000,45639.89483,14170,7593.859361,2.366302169,1.31294384
stn20,DCM,ara,3,978666.6667,110409.8426,54423.33333,80175.73594,5.127456031,7.348121106
stn20,DCM,ara,7,844333.3333,161202.7709,7287.666667,10944.91281,0.978949468,1.484241893
stn20,DCM,ara,10,1113666.667,568357.5752,23033.33333,16913.99815,2.186865759,1.274715606
stn20,DCM,ara,15,NA,NA,NA,NA,NA,NA
stn20,DCM,ara,30,NA,NA,NA,NA,NA,NA
stn20,DCM,chn,0.2,526666.6667,47056.70338,5183.333333,2390.697248,0.97061636,0.416830127
stn20,DCM,chn,1,596666.6667,54307.76495,11270,12259.59624,1.830387449,1.929972759
stn20,DCM,chn,3,2426666.667,820386.088,4193.333333,2444.265397,0.186682373,0.142022299
stn20,DCM,chn,7,1383333.333,133166.5624,34633.33333,8025.168742,2.539727469,0.719048301
stn20,DCM,chn,10,1276333.333,630039.9458,13666.66667,585.9465277,1.392661509,0.981670213
stn20,DCM,chn,15,NA,NA,NA,NA,NA,NA
stn20,DCM,chn,30,NA,NA,NA,NA,NA,NA
stn20,DCM,control,0.2,504179.4701,NA,NA,NA,NA,NA
stn20,DCM,control,1,452544.1161,NA,NA,NA,NA,NA
stn20,DCM,control,3,912690.0739,NA,NA,NA,NA,NA
stn20,DCM,control,7,847276.4915,NA,NA,NA,NA,NA
stn20,DCM,control,10,856647.4329,NA,NA,NA,NA,NA
stn20,DCM,fuc,0.2,494666.6667,97602.93711,4674.333333,2160.857777,0.907492286,0.291115534
stn20,DCM,fuc,1,609000,89604.68738,10961.66667,1716.685275,1.798342195,0.057429421
stn20,DCM,fuc,3,836333.3333,401325.7198,8167,1640.572156,1.126674574,0.488319349
stn20,DCM,fuc,7,792000,292825.8868,40638,60935.6176,3.858102233,5.165804739
stn20,DCM,fuc,10,797666.6667,237723.2284,8531.666667,2768.358419,1.100197948,0.288260768
stn20,DCM,fuc,15,NA,NA,NA,NA,NA,NA
stn20,DCM,fuc,30,NA,NA,NA,NA,NA,NA
stn20,DCM,lam,0.2,512333.3333,40698.0753,38200,9199.456506,7.391025252,1.232267295
stn20,DCM,lam,1,601000,113331.3725,32100,10764.29282,5.263198386,1.209609431
stn20,DCM,lam,3,1025000,125622.4502,76500,4357.751714,7.50511439,0.55546199
stn20,DCM,lam,7,1061666.667,106105.2936,118033.3333,69383.45144,10.77972768,5.200357968
stn20,DCM,lam,10,855333.3333,321506.3504,104900,37411.62921,13.14192408,6.323250767
stn20,DCM,lam,15,NA,NA,NA,NA,NA,NA
stn20,DCM,lam,30,NA,NA,NA,NA,NA,NA
stn20,DCM,pul,0.2,532000,60901.55991,57600,14294.4045,10.71413367,1.505210914
stn20,DCM,pul,1,587000,66955.20891,60866.66667,23867.20204,10.15147447,2.921102565
stn20,DCM,pul,3,1120000,36055.51275,108400,26949.58256,9.661962184,2.278620698
stn20,DCM,pul,7,721333.3333,113953.2068,31200,15554.09914,4.314162864,1.835881026
stn20,DCM,pul,10,845666.6667,203971.4032,33666.66667,10555.72514,3.940665604,0.392398946
stn20,DCM,pul,15,NA,NA,NA,NA,NA,NA
stn20,DCM,pul,30,NA,NA,NA,NA,NA,NA
stn20,DCM,xyl,0.2,324333.3333,280902.7115,NA,NA,NA,NA
stn20,DCM,xyl,1,596000,41243.18125,NA,NA,NA,NA
stn20,DCM,xyl,3,997000,74478.18473,NA,NA,NA,NA
stn20,DCM,xyl,7,986333.3333,189315.4334,NA,NA,NA,NA
stn20,DCM,xyl,10,778333.3333,382194.1043,NA,NA,NA,NA
stn20,DCM,xyl,15,NA,NA,NA,NA,NA,NA
stn20,DCM,xyl,30,NA,NA,NA,NA,NA,NA
