,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
282,stn18-d5-bulk-fuc-t5,0.573844654,0.070011752,0.365698529,0.660910597,0.365540292,0.295449454,0,0,0,0,0,0
283,stn18-d5-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
284,stn18-d5-bulk-lam-t1,2.493193454,2.586430319,0.246582075,0.825051599,1.219354664,1.218740593,0,0,0,0,0,0
285,stn18-d5-bulk-lam-t2,1.40034418,1.62137661,0.123408891,0.650969638,0.798585046,0.759815473,0,0,0,0,0,0
286,stn18-d5-bulk-lam-t3,0.660281174,0.601068105,0.181068983,0.278349103,0.353495397,0.219852314,0,0,0,0,0,0
287,stn18-d5-bulk-lam-t4,1.255972093,0.947943492,0.456240753,0.393603708,0.599262651,0.303586226,0,0,0,0,0,0
288,stn18-d5-bulk-lam-t5,0.344473618,0.721174248,0.664216314,0.552567806,0.645986123,0.085768806,0,0.37670063,0.319742696,0.208094188,0.301512505,0.085768806
289,stn18-d5-bulk-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
290,stn18-d5-bulk-pul-t1,6.263839711,4.101528654,5.71097839,8.165807127,5.99277139,2.046740176,0,0,0,0,0,0
291,stn18-d5-bulk-pul-t2,6.847391672,3.388995563,4.453718998,4.73611644,4.192943667,0.710412904,0,0,0,0,0,0
292,stn18-d5-bulk-pul-t3,5.051556481,1.672964917,3.817822459,2.948081314,2.81295623,1.078794494,0,0,0,0,0,0
293,stn18-d5-bulk-pul-t4,3.05158501,0.85426981,3.358384989,1.403973375,1.872209391,1.316085838,0,0,0.306799979,0,0.10226666,0.17713105
294,stn18-d5-bulk-pul-t5,1.205202264,0.629956804,1.605572955,1.45012863,1.228552797,0.524193291,0,0,0.400370691,0.244926366,0.215099019,0.201845053
295,stn18-d5-bulk-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
296,stn18-d5-bulk-xyl-t1,0.012907343,0.14599257,0.015211499,0.010830485,0.057344851,0.076802421,0,0,0,0,0,0
297,stn18-d5-bulk-xyl-t2,0.005366458,0.014473703,0.005374509,0.13168677,0.050511661,0.070446772,0,0,0,0,0,0
298,stn18-d5-bulk-xyl-t3,0.003239108,0.051899139,0.143773667,0.074590742,0.090087849,0.047857627,0,0,0,0,0,0
299,stn18-d5-bulk-xyl-t4,0.021254917,0.023975611,0.179342425,0.084218287,0.095845441,0.078333293,0,0,0,0,0,0
300,stn18-d5-bulk-xyl-t5,0.010343788,0.092122835,0.074255607,0.071975879,0.07945144,0.011032791,0,0,0,0,0,0
301,stn18-d6-bulk-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
302,stn18-d6-bulk-ara-t1,1.475112289,6.44696678,10.95478506,17.89777127,11.7665077,5.768396754,0,0,0,0,0,0
303,stn18-d6-bulk-ara-t2,1.468126005,2.27282489,1.816037459,4.407604849,2.832155733,1.383363159,0,0,0,0,0,0
304,stn18-d6-bulk-ara-t3,0.735803229,1.862283078,0.867615342,0.774912544,1.168270321,0.602817329,0,0,0,0,0,0
305,stn18-d6-bulk-ara-t4,0.469519233,0.561243562,0.468862184,0.595486289,0.541864011,0.065498788,0,0,0,0,0,0
306,stn18-d6-bulk-ara-t5,0.467306261,0.401233299,0.382134119,0.458403861,0.41392376,0.039686953,0,0,0,0,0,0
307,stn18-d6-bulk-ara-t6,0.45822145,0.344509234,1.049756703,0.729063638,0.707776525,0.353105301,0,0,0,0,0,0
308,stn18-d6-bulk-ara-t7,0.887797479,0.297337873,0.327614026,0.304755117,0.309902339,0.015780741,0,0,0,0,0,0
309,stn18-d6-bulk-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
310,stn18-d6-bulk-chn-t1,11.40623587,47.70310975,44.82847689,54.78331672,49.10496779,5.123340071,0,0,0,0,0,0
311,stn18-d6-bulk-chn-t2,1.962417324,4.869714394,5.319224155,8.840972948,6.343303832,2.174690326,0,0,0,0,0,0
312,stn18-d6-bulk-chn-t3,1.410673378,0.977426088,3.268758191,1.978339919,2.074841399,1.148710191,0,0,0,0,0,0
313,stn18-d6-bulk-chn-t4,1.557383027,4.026986183,0.261828904,2.546997654,2.278604247,1.896873375,0,0,0,0,0,0
314,stn18-d6-bulk-chn-t5,2.629130723,2.154451689,1.900057091,0.862056261,1.638855014,0.684646901,0,0,0,0,0,0
315,stn18-d6-bulk-chn-t6,3.463648746,1.617495021,1.033673855,0.602803261,1.084657379,0.509263519,0,0,0,0,0,0
316,stn18-d6-bulk-chn-t7,2.013320405,1.381294693,1.415082282,1.192428769,1.329601915,0.119990642,0,0,0,0,0,0
317,stn18-d6-bulk-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
318,stn18-d6-bulk-fuc-t1,75.77859743,34.44875723,19.59432706,27.71095882,27.2513477,7.437873065,0,0,0,0,0,0
319,stn18-d6-bulk-fuc-t2,25.49178153,10.00733459,2.298237003,3.240910588,5.182160727,4.205221217,0,0,0,0,0,0
320,stn18-d6-bulk-fuc-t3,9.051002229,5.065455926,1.099175412,0.911291675,2.358641004,2.346052075,0,0,0,0,0,0
321,stn18-d6-bulk-fuc-t4,4.818216136,0.887306398,0.966486102,1.130953792,0.994915431,0.124286697,0,0,0,0,0,0
322,stn18-d6-bulk-fuc-t5,3.204805185,1.081289667,0.736568134,0.422885028,0.746914276,0.329324231,0,0,0,0,0,0
323,stn18-d6-bulk-fuc-t6,5.110718444,2.272594714,1.606492082,1.428992402,1.769359733,0.444759057,0,0,0,0,0,0
324,stn18-d6-bulk-fuc-t7,2.826849558,1.125201341,0.845191002,0.813387329,0.927926557,0.17158343,0,0,0,0,0,0
325,stn18-d6-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
326,stn18-d6-bulk-lam-t1,0.23036661,4.068378797,0.686110013,1.284699866,2.013062892,1.804943228,0,0,0,0,0,0
327,stn18-d6-bulk-lam-t2,0.046737965,1.471466546,0.177999497,0.216164992,0.621877011,0.736013542,0,0,0,0,0,0
328,stn18-d6-bulk-lam-t3,0.028705119,0.269897219,0.094671799,0.161988588,0.175519202,0.088392845,0,0,0,0,0,0
329,stn18-d6-bulk-lam-t4,0.018177194,0.189705361,0.134648854,0.091730857,0.138695024,0.049112417,0,0,0,0,0,0
330,stn18-d6-bulk-lam-t5,0.010155799,0.190267258,0.025767254,0.028270099,0.08143487,0.09425992,0,0,0,0,0,0
331,stn18-d6-bulk-lam-t6,0.009001739,0.062343696,0.00549292,0.06815709,0.045331235,0.03462322,0,0,0,0,0,0
332,stn18-d6-bulk-lam-t7,0.005863371,0.219471093,0.320684163,0.457095321,0.332416859,0.119245799,0,0.213607722,0.314820792,0.45123195,0.326553488,0.119245799
333,stn18-d6-bulk-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
334,stn18-d6-bulk-pul-t1,8.558297052,59.00489952,14.66054083,42.10181262,38.58908432,22.37990129,0,0,0,0,0,0
335,stn18-d6-bulk-pul-t2,3.106237165,12.25030272,18.92393285,15.71379445,15.62934334,3.337616479,0,0,0,0,0,0
336,stn18-d6-bulk-pul-t3,1.167795299,3.188986196,2.270947174,3.742469053,3.067467474,0.743249124,0,0,0,0,0,0
337,stn18-d6-bulk-pul-t4,0.182969081,4.665158495,3.742984237,3.156836034,3.854992922,0.760374001,0,0,0,0,0,0
338,stn18-d6-bulk-pul-t5,0.113040769,2.283992768,0.915743366,2.541852043,1.913862726,0.87395912,0,0,0,0,0,0
339,stn18-d6-bulk-pul-t6,0.398033924,0.217393734,0.042268919,0.395041676,0.218234776,0.176387882,0,0,0,0,0,0
340,stn18-d6-bulk-pul-t7,0.493240816,0.202580643,0.056687725,0.072342371,0.110536913,0.080095588,0,0,0,0,0,0
341,stn18-d6-bulk-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
342,stn18-d6-bulk-xyl-t1,133.8166284,6.934927548,1.042272226,0.11099911,2.696066295,3.700375109,0,0,0,0,0,0
343,stn18-d6-bulk-xyl-t2,28.89506044,1.791878032,0.124487881,0.352105143,0.756157019,0.904152043,0,0,0,0,0,0
344,stn18-d6-bulk-xyl-t3,9.40096341,0.537563037,0.0759905,0.009793048,0.207782195,0.287510137,0,0,0,0,0,0
345,stn18-d6-bulk-xyl-t4,4.078808392,0.22552318,0.027634265,0.002676726,0.085278057,0.122095211,0,0,0,0,0,0
346,stn18-d6-bulk-xyl-t5,2.883503745,0.349156865,0.376814455,0.243876313,0.323282544,0.070144478,0,0,0,0,0,0
347,stn18-d6-bulk-xyl-t6,1.763330453,3.662201325,4.355659266,3.149508181,3.722456257,0.605328921,0,1.898870872,2.592328813,1.386177728,1.959125804,0.605328921
348,stn18-d6-bulk-xyl-t7,0.957498209,2.6920215,2.524256599,2.660390402,2.625556167,0.089142209,0,1.734523291,1.566758389,1.702892193,1.668057958,0.089142209
