,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
458,stn19-dB-LV-A1-pul-t1,2.891407279,0,0.562739429,2.220311022,0.927683483,1.154267465,0,0,0,0,0,0
459,stn19-dB-LV-A1-pul-t2,2.411798666,0.191280678,0.33899437,1.187003196,0.572426081,0.537339377,0,0,0,0,0,0
460,stn19-dB-LV-A1-pul-t3,0.135136053,0.322931371,0.557667036,0.633957075,0.504851828,0.162099759,0,0.187795318,0.422530983,0.498821022,0.369715774,0.162099759
461,stn19-dB-LV-A1-pul-t4,0.496425363,0.652901821,0.962307306,0.95670495,0.857304692,0.177040241,0,0.156476458,0.465881944,0.460279587,0.36087933,0.177040241
462,stn19-dB-LV-A1-pul-t5,0.027844341,0.729192811,0.850944016,0.806821998,0.795652942,0.061639272,0,0.70134847,0.823099675,0.778977657,0.767808601,0.061639272
463,stn19-dB-LV-A1-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
464,stn19-dB-LV-A1-xyl-t1,0.195791696,0.038060573,0.152418083,1.375134606,0.521871087,0.741156788,0,0,0,0,0,0
465,stn19-dB-LV-A1-xyl-t2,0.593232091,0.650144921,0.840239398,0.765782334,0.752055551,0.095787765,0,0.05691283,0.247007307,0.172550243,0.15882346,0.095787765
466,stn19-dB-LV-A1-xyl-t3,0.114453388,1.705049855,0.553900334,0.550071136,0.936340441,0.665724633,0,1.590596467,0.439446946,0.435617748,0.821887054,0.665724633
467,stn19-dB-LV-A1-xyl-t4,0.211100401,3.491107401,1.969417659,1.081216207,2.180580422,1.218743688,0,3.280007,1.758317258,0.870115805,1.969480021,1.218743688
468,stn19-dB-LV-A1-xyl-t5,0.153377589,1.997783838,3.076495848,2.999409221,2.691229636,0.601777278,0,1.844406249,2.923118258,2.846031632,2.537852046,0.601777278
469,stn19-dB-LV-A2-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
470,stn19-dB-LV-A2-ara-t1,2.943904432,0.565878743,0.942246387,0.740968253,0.749697794,0.188335617,0,0,0,0,0,0
471,stn19-dB-LV-A2-ara-t2,1.036549659,0.133207056,0.548834778,0.513710168,0.398584001,0.230493225,0,0,0,0,0,0
472,stn19-dB-LV-A2-ara-t3,0.201495616,0.380302262,0.511636258,0.583716983,0.491885168,0.10313567,0,0,0,0,0,0
473,stn19-dB-LV-A2-ara-t4,0.143834085,0.337449278,0.308311717,0.298360415,0.314707137,0.020314055,0,0,0,0,0,0
474,stn19-dB-LV-A2-ara-t5,0.330153891,0.25720127,0.194217979,0.205530439,0.218983229,0.033577625,0,0,0,0,0,0
475,stn19-dB-LV-A2-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
476,stn19-dB-LV-A2-chn-t1,7.630534447,2.082397134,1.381271673,1.352794288,1.605487698,0.413261053,0,0,0,0,0,0
477,stn19-dB-LV-A2-chn-t2,4.661677361,4.040299326,4.588182866,5.260093621,4.629525271,0.610947155,0,0,0,0.59841626,0.199472087,0.345495789
478,stn19-dB-LV-A2-chn-t3,1.81800152,2.037975943,1.722747961,3.641771574,2.467498493,1.029091892,0,0.219974423,0,1.823770054,0.681248159,0.995547285
479,stn19-dB-LV-A2-chn-t4,2.546585744,2.550462632,2.474325482,2.834686397,2.619824837,0.189929813,0,0.003876888,0,0.288100653,0.097325847,0.1652272
