Sample,Station,Amendment,Depth,Depth_full,Mesocosm,Substrate,Replicate,IncubationTime
St20_dB_l1_10d,20,unamended,B,DCM,0,Laminarin,1,10
St20_dB_l2_10d,20,unamended,B,DCM,0,Laminarin,2,10
St20_dB_y1_1d,20,unamended,B,DCM,0,Xylan,1,1
St20_dB_y2_1d,20,unamended,B,DCM,0,Xylan,2,1
St20_dB_y3_1d,20,unamended,B,DCM,0,Xylan,3,1
St20_dB_y1_3d,20,unamended,B,DCM,0,Xylan,1,3
St20_dB_y2_3d,20,unamended,B,DCM,0,Xylan,2,3
St20_dB_y3_3d,20,unamended,B,DCM,0,Xylan,3,3
St20_dB_y1_10d,20,unamended,B,DCM,0,Xylan,1,10
St20_dB_y2_10d,20,unamended,B,DCM,0,Xylan,2,10
St20_dB_y3_10d,20,unamended,B,DCM,0,Xylan,3,10
St20_dB_c1_1d,20,unamended,B,DCM,0,Chondroitin,1,1
St20_dB_c2_1d,20,unamended,B,DCM,0,Chondroitin,2,1
St20_dB_c3_1d,20,unamended,B,DCM,0,Chondroitin,3,1
St20_dB_c1_3d,20,unamended,B,DCM,0,Chondroitin,1,3
St20_dB_c2_3d,20,unamended,B,DCM,0,Chondroitin,2,3
St20_dB_c3_3d,20,unamended,B,DCM,0,Chondroitin,3,3
St20_dB_c1_10d,20,unamended,B,DCM,0,Chondroitin,1,10
St20_dB_c2_10d,20,unamended,B,DCM,0,Chondroitin,2,10
St20_dB_c3_10d,20,unamended,B,DCM,0,Chondroitin,3,10
St20_dB_p1_1d,20,unamended,B,DCM,0,Pullulan,1,1
St20_dB_p2_1d,20,unamended,B,DCM,0,Pullulan,2,1
St20_dB_p3_1d,20,unamended,B,DCM,0,Pullulan,3,1
St20_dB_p1_3d,20,unamended,B,DCM,0,Pullulan,1,3
St20_dB_p2_3d,20,unamended,B,DCM,0,Pullulan,2,3
St20_dB_p3_3d,20,unamended,B,DCM,0,Pullulan,3,3
St20_dB_p1_10d,20,unamended,B,DCM,0,Pullulan,1,10
St20_dB_p2_10d,20,unamended,B,DCM,0,Pullulan,2,10
St20_dB_p3_10d,20,unamended,B,DCM,0,Pullulan,3,10
St20_dB_a1_1d,20,unamended,B,DCM,0,Arabinogalactan,1,1
St20_dB_a2_1d,20,unamended,B,DCM,0,Arabinogalactan,2,1
St20_dB_a3_1d,20,unamended,B,DCM,0,Arabinogalactan,3,1
St20_dB_a1_3d,20,unamended,B,DCM,0,Arabinogalactan,1,3
St20_dB_a2_3d,20,unamended,B,DCM,0,Arabinogalactan,2,3
St20_dB_a3_3d,20,unamended,B,DCM,0,Arabinogalactan,3,3
St20_dB_a1_10d,20,unamended,B,DCM,0,Arabinogalactan,1,10
St20_dB_a2_10d,20,unamended,B,DCM,0,Arabinogalactan,2,10
St20_dB_a3_10d,20,unamended,B,DCM,0,Arabinogalactan,3,10
St20_dB_f1_1d,20,unamended,B,DCM,0,Fucoidan,1,1
St20_dB_f2_1d,20,unamended,B,DCM,0,Fucoidan,2,1
St20_dB_f3_1d,20,unamended,B,DCM,0,Fucoidan,3,1
St20_dB_f1_3d,20,unamended,B,DCM,0,Fucoidan,1,3
St20_dB_f2_3d,20,unamended,B,DCM,0,Fucoidan,2,3
St20_dB_f1_10d,20,unamended,B,DCM,0,Fucoidan,1,10
St20_dB_f2_10d,20,unamended,B,DCM,0,Fucoidan,2,10
St20_dB_f3_10d,20,unamended,B,DCM,0,Fucoidan,3,10
St20_dB_n1_1d,20,unamended,B,DCM,0,Control,1,1
St20_dB_n1_3d,20,unamended,B,DCM,0,Control,1,3
St20_dB_n1_10d,20,unamended,B,DCM,0,Control,1,10
