"sn"	"h"	"s"	"i"	"j"
"St18_LV_dB_M3_t2"	199	2.87564140494181	0.876911424354286	8.12423082121206	0.543260118236528
"St18_LV_dB_M4_t2"	175	1.5260499028755	0.574083961873825	2.3478805926152	0.295472050648443
"St18_LV_dB_M1_t3"	316	3.47669118881622	0.927547555767617	13.8021568574363	0.604038725120315
"St18_LV_dB_M2_t3"	298	3.76399832497539	0.945870353878085	18.4741647441723	0.660687477551685
"St18_LV_dB_M3_t3"	436	3.67472011281227	0.946512364354635	18.6959095860999	0.604629223912224
"St18_LV_dB_M4_t3"	198	3.08629760343227	0.903888344003237	10.4045652905375	0.583612284613951
"St18_LV_dB_M1_t4"	313	3.75922334226687	0.947499049511394	19.0472742053885	0.65420995701224
"St18_LV_dB_M2_t4"	335	3.98312120804799	0.963295440595721	27.2445716889171	0.685075986210733
"St18_LV_dB_M3_t4"	236	3.33575581780871	0.930305275492386	14.3482882967813	0.61051583153429
"St18_LV_dB_M4_t4"	229	3.41043298670479	0.937834898515849	16.0861958900678	0.627642154765003
"St18_LV_dC_M1_t0"	164	3.7168591657731	0.949106151306171	19.6487399885174	0.728815002976236
"St18_LV_dC_M2_t0"	99	3.58214601318772	0.938215430246885	16.185270917899	0.779554425132742
"St18_LV_dC_M3_t0"	169	0.75466119353581	0.204949418127371	1.25778160886901	0.147110349633312
"St18_LV_dC_M2_t1"	190	1.74590256358126	0.675781133552652	3.08433624161843	0.332741481565641
"St18_LV_dC_M4_t1"	311	3.72448598802944	0.947372422458041	19.0014446171822	0.648888565322013
"St18_LV_dC_M1_t2"	45	1.42412491072091	0.642840550937812	2.79986992539537	0.37411378459424
"St18_LV_dC_M2_t2"	192	2.42415879048469	0.813604902031389	5.36494795677729	0.461086243343607
"St18_LV_dC_M3_t2"	190	2.59815726345561	0.844291049546922	6.42223839471158	0.495167780388285
"St18_LV_dC_M4_t2"	331	3.87478765671782	0.954846423644962	22.1466399945178	0.667822923634509
"St18_LV_dC_M1_t3"	223	2.62642558208087	0.843336777194446	6.38311903771553	0.485730006940699
"St18_LC_dC_M2_t3"	186	2.51899916161263	0.831194254581189	5.92396898292164	0.482036217768423
"St18_LV_dC_M3_t3"	187	2.44797696910408	0.824213769085588	5.68872769384813	0.467965234217603
"St18_LV_dC_M4_t3"	170	1.73271653475656	0.595251064140427	2.47066739749736	0.337380167075198
"St18_LV_dC_M1_t4"	71	2.33589725524632	0.812221239562893	5.32541591856408	0.5479879612418
"St18_LV_dC_M2_t4"	131	2.00418402557756	0.750992729231993	4.01594699189195	0.411098032081618
"St18_LV_dC_M3_t4"	145	1.00194151711945	0.421138312678418	1.72752839219165	0.201325119842986
"St18_LV_dC_M4_t4"	191	3.23963221869033	0.912353801113738	11.4095079159987	0.616805705771335
"St19_LV_dA_M1_t0"	213	2.96892977800348	0.862361019588786	7.26538366538587	0.553771308527563
"St19_LV_dA_M2_t0"	187	2.90408852574573	0.838304903769529	6.18447945121758	0.555157374555134
"St19_LV_dA_M3_t0"	218	2.88827647942261	0.853482939110392	6.82514373362597	0.53640618957621
"St19_LV_dA_M4_t0"	184	2.90392291399078	0.829139649514538	5.85273293165278	0.556847303392709
"St19_LV_dA_M1_t1"	193	3.34452487397958	0.923368726565725	13.0495025749204	0.635516200636454
"St19_LV_dA_M2_t1"	120	3.19316262534126	0.897456289949648	9.75193894885381	0.666980288823578
"St19_LV_dA_M3_t1"	155	3.2358000763103	0.925989351854979	13.511569281768	0.641587810128303
"St19_LV_dA_M1_t2"	138	2.78323992281629	0.869046770948215	7.63631418057322	0.564866373980395
"St19_LV_dA_M2_t2"	150	2.24664609852123	0.759952000392968	4.1658335067863	0.448375498645516
